x,Curve1
0.012269,0.00010503
0.014513,0.00010329
0.017436,0.0001365
0.020797,0.00034439
0.024985,0.0004455
0.030486,0.0008329
0.036536,0.0012842
0.044125,0.0021945
0.053695,0.0033263
0.063707,0.006035
0.076942,0.010491
0.091044,0.016105
0.1125,0.027404
0.13279,0.043912
0.15673,0.06627
0.1907,0.0891
0.22853,0.12185
0.27733,0.14223
0.33058,0.14475
0.40317,0.14236
0.48413,0.09729
0.57533,0.050762
0.69234,0.020662
0.83971,0.010968
1.0156,0.0043509
1.2102,0.0026944
1.4637,0.0010735
1.7312,0.0008522
1.9702,0.0004427
